seqid,source,type,start,end,score,strand,phase,gene_id,gene_type,gene_name,level,havana_gene,remap_status,remap_num_mappings,remap_target_status,transcript_id,transcript_type,transcript_name,transcript_support_level,tag,havana_transcript,exon_number,exon_id,remap_original_location,ont,protein_id,ccdsid,gene_status,remap_substituted_missing_target,transcript_status
chr1,HAVANA,transcript,11869,14409,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,1,overlap,ENST00000456328.2_1,processed_transcript,RP11-34P13.1-002,1,basic,OTTHUMT00000362751.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,12010,13670,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,1,overlap,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,NA,NA,NA,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,14404,29570,NA,-,NA,ENSG00000227232,unprocessed_pseudogene,WASH7P,2,OTTHUMG00000000958.1_2,full_contig,1,overlap,ENST00000488147.1_1,unprocessed_pseudogene,RP11-34P13.2-001,NA,basic,OTTHUMT00000002839.1_1,NA,NA,NA,PGO:0000005,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,29554,31097,NA,+,NA,ENSG00000243485,lincRNA,RP11-34P13.3,2,OTTHUMG00000000959.2_4,full_contig,1,overlap,ENST00000473358.1_1,lincRNA,RP11-34P13.3-001,5,basic,OTTHUMT00000002840.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,30267,31109,NA,+,NA,ENSG00000243485,lincRNA,RP11-34P13.3,2,OTTHUMG00000000959.2_4,full_contig,1,overlap,ENST00000469289.1_1,lincRNA,RP11-34P13.3-002,5,basic,OTTHUMT00000002841.2_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,34554,36081,NA,-,NA,ENSG00000237613,lincRNA,FAM138A,2,OTTHUMG00000000960.1_2,full_contig,1,overlap,ENST00000417324.1_1,lincRNA,RP11-34P13.4-001,1,basic,OTTHUMT00000002842.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,35245,36073,NA,-,NA,ENSG00000237613,lincRNA,FAM138A,2,OTTHUMG00000000960.1_2,full_contig,1,overlap,ENST00000461467.1_1,lincRNA,RP11-34P13.4-002,3,NA,OTTHUMT00000002843.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,52473,53312,NA,+,NA,ENSG00000268020,unprocessed_pseudogene,OR4G4P,2,OTTHUMG00000185779.1_4,full_contig,1,overlap,ENST00000606857.1_1,unprocessed_pseudogene,RP11-34P13.17-001,NA,basic,OTTHUMT00000471235.1_1,NA,NA,NA,PGO:0000005,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,57598,64116,NA,+,NA,ENSG00000240361,transcribed_unprocessed_pseudogene,OR4G11P,2,OTTHUMG00000001095.3_3,full_contig,1,new,ENST00000642116.1_1,processed_transcript,RP11-34P13.6-002,NA,basic,OTTHUMT00000492680.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,62949,63887,NA,+,NA,ENSG00000240361,transcribed_unprocessed_pseudogene,OR4G11P,2,OTTHUMG00000001095.3_3,full_contig,1,overlap,ENST00000492842.2_2,transcribed_unprocessed_pseudogene,RP11-34P13.6-001,NA,basic,OTTHUMT00000003224.3_2,NA,NA,NA,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,65419,71585,NA,+,NA,ENSG00000186092,protein_coding,OR4F5,2,OTTHUMG00000001094.4_4,full_contig,1,new,ENST00000641515.2_2,protein_coding,RP11-34P13.5-001,NA,basic,OTTHUMT00000003223.4_2,NA,NA,NA,NA,ENSP00000493376.2,NA,NA,NA,NA
chr1,ENSEMBL,transcript,69055,70108,NA,+,NA,ENSG00000186092,protein_coding,OR4F5,3,OTTHUMG00000001094.4_4,full_contig,1,overlap,ENST00000335137.4_2,protein_coding,OR4F5-201,NA,CCDS,NA,NA,NA,NA,NA,ENSP00000334393.3,CCDS30547.1,NA,NA,NA
chr1,HAVANA,transcript,89295,120932,NA,-,NA,ENSG00000238009,lincRNA,RP11-34P13.7,2,OTTHUMG00000001096.2_5,full_contig,1,overlap,ENST00000466430.5_1,lincRNA,RP11-34P13.7-001,5,basic,OTTHUMT00000003225.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,92230,129217,NA,-,NA,ENSG00000238009,lincRNA,RP11-34P13.7,2,OTTHUMG00000001096.2_5,full_contig,1,overlap,ENST00000477740.5_1,lincRNA,RP11-34P13.7-003,5,not_best_in_genome_evidence,OTTHUMT00000003688.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,HAVANA,transcript,110953,129173,NA,-,NA,ENSG00000238009,lincRNA,RP11-34P13.7,2,OTTHUMG00000001096.2_5,full_contig,1,overlap,ENST00000471248.1_1,lincRNA,RP11-34P13.7-002,5,dotter_confirmed,OTTHUMT00000003687.1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA
chr1,ENSEMBL,transcript,120725,133723,NA,-,NA,ENSG00000238009,lincRNA,RP11-34P13.7,3,OTTHUMG00000001096.2_5,full_contig,1,new,ENST00000610542.1_1,lincRNA,AL627309.1-205,5,basic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
