seqid,source,type,start,end,score,strand,phase,gene_id,gene_type,gene_name,level,havana_gene,remap_status,remap_num_mappings,remap_target_status,transcript_id,transcript_type,transcript_name,transcript_support_level,tag,havana_transcript,exon_number,exon_id,remap_original_location,ont,protein_id,ccdsid,gene_status,remap_substituted_missing_target,transcript_status
chr1,HAVANA,exon,11869,12227,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000456328.2_1,processed_transcript,RP11-34P13.1-002,1,basic,OTTHUMT00000362751.1_1,1,ENSE00002234944.1_1,chr1:+:11869-12227,NA,NA,NA,NA,NA,NA
chr1,HAVANA,exon,12613,12721,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000456328.2_1,processed_transcript,RP11-34P13.1-002,1,basic,OTTHUMT00000362751.1_1,2,ENSE00003582793.1_1,chr1:+:12613-12721,NA,NA,NA,NA,NA,NA
chr1,HAVANA,exon,13221,14409,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000456328.2_1,processed_transcript,RP11-34P13.1-002,1,basic,OTTHUMT00000362751.1_1,3,ENSE00002312635.1_1,chr1:+:13221-14409,NA,NA,NA,NA,NA,NA
chr1,HAVANA,exon,12010,12057,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,1,ENSE00001948541.1_1,chr1:+:12010-12057,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,exon,12179,12227,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,2,ENSE00001671638.2_1,chr1:+:12179-12227,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,exon,12613,12697,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,3,ENSE00001758273.2_1,chr1:+:12613-12697,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,exon,12975,13052,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,4,ENSE00001799933.2_1,chr1:+:12975-13052,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,exon,13221,13374,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,5,ENSE00001746346.2_1,chr1:+:13221-13374,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,exon,13453,13670,NA,+,NA,ENSG00000223972,transcribed_unprocessed_pseudogene,DDX11L1,2,OTTHUMG00000000961.2_2,full_contig,NA,NA,ENST00000450305.2_1,transcribed_unprocessed_pseudogene,RP11-34P13.1-001,NA,basic,OTTHUMT00000002844.2_1,6,ENSE00001863096.1_1,chr1:+:13453-13670,PGO:0000019,NA,NA,NA,NA,NA
chr1,HAVANA,exon,29534,29570,NA,-,NA,ENSG00000227232,unprocessed_pseudogene,WASH7P,2,OTTHUMG00000000958.1_2,full_contig,NA,NA,ENST00000488147.1_1,unprocessed_pseudogene,RP11-34P13.2-001,NA,basic,OTTHUMT00000002839.1_1,1,ENSE00001890219.1_1,chr1:-:29534-29570,PGO:0000005,NA,NA,NA,NA,NA
